"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","State Is Easing Social Distancing Measures","Stay at Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (37); No (14)","Original Stay at Home Order in Place (29); Stay at Home Order Eased or Lifted (16); No Action (6)","Original Traveler Quarantine Mandate in Place (20); Traveler Quarantine Mandate Eased or Lifted (3); No Action (28)","Original Non-Essential Business Closures Still in Place (14); Some or All Non-Essential Businesses Permitted to Reopen (31); No Action (6)","Original Gathering Ban/Limit in Place (39); Gathering Ban/Limit Eased or Lifted (10); No Action (2)","Closed (7); Closed for School Year (36); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1)","Original Restaurant Closures Still in Place (30); Restaurants Reopened to Dine-in Service (20); No Action (1)","Postponed (14); Canceled (1); No (36)","Yes (51); No (0)"
"Alabama","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes"
"Alaska","Yes","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to 50+ People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","","Yes"
"Arizona","Yes","Statewide","From Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes"
"Arkansas","Yes","-","-","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes"
"California","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Colorado","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to >10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Connecticut","-","Statewide","-","All Non-Essential Businesses Closed","Other","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes","1"
"Delaware","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"District of Columbia","-","Statewide","-","All Non-Essential Businesses Closed",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Florida","Yes","Lifted","From Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Other","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2, 3"
