"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","State Is Easing Social Distancing Measures","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (8); No (43)","Statewide (42); High-risk Groups (2); Other (1); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (28); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (12); No Action (7)","All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No Action (3)","Closed (15); Closed for School Year (29); Recommended Closure (1); Recommended Closure for School Year (6)","Closed Except for Takeout/Delivery (45); Limited On-Site Service (4); Other (1); No Action (1)","Yes (15); No (36)","Yes (51); No (0)"
"Alabama","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Alaska","Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Statewide","All Travelers","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Limited On-Site Service*","-","Yes"
"Arizona","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Arkansas","-","-","-","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"California","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Colorado","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Connecticut","-","Statewide","-","All Non-Essential Businesses","Other","Closed","Closed Except for Takeout/Delivery","Yes","Yes","1, 2"
"Delaware","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"District of Columbia","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Florida","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","3"
"Georgia","Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Limited On-Site Service*","Yes","Yes"
"Hawaii","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Idaho","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure","Closed Except for Takeout/Delivery","-","Yes"
"Illinois","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Indiana","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"Iowa","-","-","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","4"
"Kansas","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Limited On-Site Service","-","Yes"
"Kentucky","-","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Yes","Yes","1, 5"
"Louisiana","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Maine","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Maryland","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"Massachusetts","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","1"
"Michigan","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Minnesota","-","Statewide","-","-","-","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Mississippi","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Missouri","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Montana","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Nebraska","-","-","-","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","1, 6"
"Nevada","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","5"
"New Hampshire","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"New Jersey","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"New Mexico","-","Statewide","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Limited On-Site Service","-","Yes","5"
"New York","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"North Carolina","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","5"
"North Dakota","-","-","All Travelers","Certain Non-Essential Businesses","-","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Ohio","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Oklahoma","Reopens Certain Businesses","High-risk Groups","From Certain States","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Other","-","Yes","7"
"Oregon","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Pennsylvania","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Rhode Island","-","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Closed","Closed Except for Takeout/Delivery","Yes","Yes","2"
"South Carolina","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"South Dakota","-","-","-","-",">10 People Prohibited","Recommended Closure for School Year","-","-","Yes"
"Tennessee","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Texas","-","Other","From Certain States","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","8"
"Utah","-","High-risk Groups","All Travelers","-","-","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Vermont","Reopens Certain Businesses","Statewide","All Travelers","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","9"
"Virginia","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Washington","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"West Virginia","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes","2"
"Wisconsin","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Wyoming","-","-","All Travelers","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Notes"
"* Reflects an easing of more restrictive social distancing measures."
""
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included."


Footnotes
"1. These states have not formally issued stay at home orders; however, other actions, including closing non-essential businesses, banning large gatherings, and issuing advisories urging residents to stay home, have had the same effect."
"2. CT, RI, and WV have prohibited gatherings larger than five people, with limited exceptions."
"3. The FL governor has prohibited gatherings of more than 10 people in public spaces, but limits on private gatherings have fallen short of a mandate."
"4. Iowa bans all gatherings in 14 hard-hit counties in the northeastern part of the state, and bans gatherings of more than 10 people in the rest of the state"
"5. Please see links in Sources tab for more details."
"6. NE has enacted a large gatherings ban and bar/restaurant limits in counties where community spread has been confirmed."
"7. OK has mandated closure of all non-essential businesses and limited bar/restaurants to carry-out and delivery only in affected counties."
"8. The TX governor has ordered that every person in Texas shall, except where necessary to provide or obtain essential services, minimize social gatherings and minimize in-person contact with people who are not in the same household"
"9. Gatherings also limited to 50% of venue capacity if such limitation would be under 50 people."

