Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
Oregon,2020-04-01,5,NA,4,7,1,0,3,2,NA
Pennsylvania,2020-04-01,NA,NA,5,0,1,0,3,2,NA
Rhode Island,2020-04-01,5,NA,4,0,1,5,3,2,NA
South Carolina,2020-04-01,0,NA,5,2,1,0,3,2,NA
South Dakota,2020-04-01,0,NA,0,5,1,0,0,2,NA
Tennessee,2020-04-01,5,NA,5,5,1,0,3,2,NA
Texas,2020-04-01,NA,NA,0,5,1,4,3,2,NA
Utah,2020-04-01,2,NA,0,0,1,5,3,2,NA
Vermont,2020-04-01,5,NA,5,5,1,5,3,2,NA
Virginia,2020-04-01,5,NA,0,5,1,0,3,2,NA
Washington,2020-04-01,5,NA,5,7,1,0,3,2,NA
West Virginia,2020-04-01,5,NA,5,7,1,4,3,2,NA
Wisconsin,2020-04-01,5,NA,5,7,1,0,3,2,NA
