Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
Alabama,2020-07-26,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-26,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-26,1,3,3,NA,1,1,NA,NA,2
Arkansas,2020-07-26,0,2,0,1,1,1,2,NA,3
California,2020-07-26,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-26,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-26,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-26,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-26,1,1,2,3,1,0,2,NA,3
Florida,2020-07-26,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-26,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-26,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-26,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-26,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-26,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-26,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-26,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-26,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-07-26,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-26,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-26,1,1,2,5,1,5,2,NA,3
Massachusetts,2020-07-26,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-26,1,2,1,3,1,0,2,NA,3
Minnesota,2020-07-26,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-26,1,3,2,3,1,0,2,NA,2
Missouri,2020-07-26,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-26,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-26,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-26,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-26,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-26,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-26,1,3,2,3,1,NA,NA,NA,2
New York,2020-07-26,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-26,1,2,2,5,1,0,2,NA,3
North Dakota,2020-07-26,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-26,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-26,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-26,1,3,1,NA,1,0,NA,NA,3
Pennsylvania,2020-07-26,1,3,2,NA,1,0,NA,NA,3
Rhode Island,2020-07-26,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-26,1,3,NA,1,1,1,1,NA,3
South Dakota,2020-07-26,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-26,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-26,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-26,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-26,1,1,2,3,1,4,2,NA,2
Virginia,2020-07-26,1,1,2,3,1,0,1,NA,3
Washington,2020-07-26,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-26,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-26,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-26,0,1,0,3,1,1,1,NA,2
Alabama,2020-07-27,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-27,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-27,1,3,3,NA,1,1,NA,NA,2
Arkansas,2020-07-27,0,2,0,1,1,1,2,NA,3
California,2020-07-27,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-27,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-27,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-27,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-27,1,1,2,3,1,4,2,NA,3
Florida,2020-07-27,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-27,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-27,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-27,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-27,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-27,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-27,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-27,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-27,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-07-27,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-27,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-27,1,1,2,5,1,5,2,NA,3
Massachusetts,2020-07-27,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-27,1,2,1,3,1,0,2,NA,3
Minnesota,2020-07-27,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-27,1,3,2,NA,1,0,2,NA,2
Missouri,2020-07-27,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-27,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-27,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-27,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-27,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-27,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-27,1,3,2,3,1,NA,NA,NA,2
New York,2020-07-27,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-27,1,2,2,5,1,0,2,NA,3
North Dakota,2020-07-27,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-27,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-27,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-27,1,3,1,NA,1,0,NA,NA,3
Pennsylvania,2020-07-27,1,3,2,NA,1,0,NA,NA,3
Rhode Island,2020-07-27,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-27,1,3,NA,1,1,1,1,NA,3
South Dakota,2020-07-27,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-27,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-27,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-27,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-27,1,1,2,3,1,4,2,NA,2
Virginia,2020-07-27,1,1,2,3,1,0,1,NA,3
Washington,2020-07-27,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-27,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-27,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-27,0,1,0,3,1,1,1,NA,2
Alabama,2020-07-28,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-28,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-28,1,3,3,NA,1,1,NA,NA,2
Arkansas,2020-07-28,0,2,0,1,1,1,2,NA,3
California,2020-07-28,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-28,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-28,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-28,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-28,1,1,2,3,1,4,2,NA,3
Florida,2020-07-28,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-28,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-28,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-28,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-28,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-28,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-28,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-28,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-28,1,3,1,NA,1,1,NA,NA,3
Louisiana,2020-07-28,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-28,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-28,1,1,2,5,1,5,2,NA,3
Massachusetts,2020-07-28,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-28,1,2,1,3,1,0,2,NA,3
Minnesota,2020-07-28,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-28,1,3,2,NA,1,0,2,NA,2
Missouri,2020-07-28,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-28,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-28,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-28,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-28,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-28,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-28,1,3,2,3,1,NA,NA,NA,2
New York,2020-07-28,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-28,1,2,2,5,1,0,2,NA,3
North Dakota,2020-07-28,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-28,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-28,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-28,1,3,1,NA,1,0,NA,NA,3
Pennsylvania,2020-07-28,1,3,2,NA,1,0,NA,NA,3
Rhode Island,2020-07-28,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-28,1,3,NA,1,1,1,1,NA,3
South Dakota,2020-07-28,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-28,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-28,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-28,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-28,1,1,2,3,1,4,2,NA,2
Virginia,2020-07-28,1,1,2,3,1,0,1,NA,3
Washington,2020-07-28,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-28,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-28,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-28,0,1,0,3,1,1,1,NA,2
Alabama,2020-07-29,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-29,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-29,1,3,3,NA,1,1,NA,NA,2
Arkansas,2020-07-29,0,2,0,1,1,1,2,NA,3
California,2020-07-29,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-29,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-29,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-29,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-29,1,1,2,3,1,4,2,NA,3
Florida,2020-07-29,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-29,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-29,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-29,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-29,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-29,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-29,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-29,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-29,1,3,1,NA,1,1,NA,NA,3
Louisiana,2020-07-29,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-29,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-29,1,1,2,5,1,5,2,NA,3
Massachusetts,2020-07-29,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-29,1,2,1,3,1,0,2,NA,3
Minnesota,2020-07-29,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-29,1,3,2,NA,1,0,2,NA,2
Missouri,2020-07-29,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-29,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-29,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-29,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-29,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-29,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-29,1,3,2,3,1,NA,NA,NA,2
New York,2020-07-29,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-29,1,2,2,5,1,0,2,NA,3
North Dakota,2020-07-29,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-29,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-29,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-29,1,3,1,NA,1,0,NA,NA,3
Pennsylvania,2020-07-29,1,3,2,NA,1,0,NA,NA,3
Rhode Island,2020-07-29,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-29,1,3,NA,1,1,1,1,NA,3
South Dakota,2020-07-29,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-29,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-29,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-29,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-29,1,1,2,3,1,4,2,NA,2
Virginia,2020-07-29,1,1,2,3,1,0,1,NA,3
Washington,2020-07-29,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-29,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-29,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-29,0,1,0,3,1,1,1,NA,2
Alabama,2020-07-30,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-30,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-30,1,3,3,NA,1,1,2,NA,2
Arkansas,2020-07-30,0,2,0,1,1,1,2,NA,3
California,2020-07-30,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-30,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-30,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-30,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-30,1,1,2,3,1,4,2,NA,3
Florida,2020-07-30,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-30,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-30,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-30,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-30,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-30,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-30,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-30,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-30,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-07-30,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-30,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-30,1,2,2,1,1,5,2,NA,3
Massachusetts,2020-07-30,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-30,1,3,1,NA,1,0,2,NA,3
Minnesota,2020-07-30,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-30,1,3,2,NA,1,0,2,NA,2
Missouri,2020-07-30,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-30,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-30,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-30,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-30,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-30,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-30,1,3,2,3,1,NA,2,NA,2
New York,2020-07-30,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-30,1,3,2,5,1,0,2,NA,3
North Dakota,2020-07-30,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-30,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-30,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-30,1,3,1,NA,1,0,2,NA,3
Pennsylvania,2020-07-30,1,3,2,NA,1,0,2,NA,3
Rhode Island,2020-07-30,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-30,1,3,NA,1,1,1,2,NA,3
South Dakota,2020-07-30,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-30,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-30,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-30,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-30,1,1,2,3,1,4,2,NA,3
Virginia,2020-07-30,1,1,2,3,1,0,1,NA,3
Washington,2020-07-30,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-30,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-30,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-30,0,1,0,3,1,1,1,NA,2
Alabama,2020-07-31,1,2,2,1,1,0,1,NA,3
Alaska,2020-07-31,1,1,NA,1,1,5,1,NA,2
Arizona,2020-07-31,1,3,3,NA,1,1,2,NA,2
Arkansas,2020-07-31,0,2,0,1,1,1,2,NA,3
California,2020-07-31,5,3,3,7,1,0,3,NA,3
Colorado,2020-07-31,2,3,2,3,1,0,2,NA,3
Connecticut,2020-07-31,1,1,2,3,1,4,2,NA,3
Delaware,2020-07-31,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-07-31,1,1,2,3,1,4,2,NA,3
Florida,2020-07-31,1,3,2,1,1,4,2,NA,2
Georgia,2020-07-31,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-07-31,1,1,1,3,1,5,1,NA,3
Idaho,2020-07-31,1,2,2,1,1,1,2,NA,0
Illinois,2020-07-31,1,1,2,3,1,0,2,NA,3
Indiana,2020-07-31,1,2,2,3,1,0,2,NA,3
Iowa,2020-07-31,0,1,NA,3,1,0,1,NA,3
Kansas,2020-07-31,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-07-31,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-07-31,1,3,2,NA,1,0,2,NA,3
Maine,2020-07-31,1,1,1,3,1,5,2,NA,3
Maryland,2020-07-31,1,2,2,1,1,5,2,NA,3
Massachusetts,2020-07-31,2,1,1,3,1,5,1,NA,3
Michigan,2020-07-31,1,3,1,NA,1,0,2,NA,3
Minnesota,2020-07-31,1,1,1,5,1,0,2,NA,3
Mississippi,2020-07-31,1,3,2,NA,1,0,2,NA,2
Missouri,2020-07-31,1,1,NA,1,1,0,1,NA,0
Montana,2020-07-31,1,1,2,3,1,1,2,NA,3
Nebraska,2020-07-31,0,1,0,3,1,2,2,NA,2
Nevada,2020-07-31,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-07-31,1,1,2,1,1,0,2,NA,2
New Jersey,2020-07-31,1,2,2,3,1,4,2,NA,3
New Mexico,2020-07-31,1,3,2,3,1,NA,2,NA,2
New York,2020-07-31,2,1,2,3,1,4,2,NA,3
North Carolina,2020-07-31,1,3,2,5,1,0,2,NA,3
North Dakota,2020-07-31,0,1,NA,0,1,5,1,NA,0
Ohio,2020-07-31,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-07-31,1,1,2,1,1,1,2,NA,0
Oregon,2020-07-31,1,3,1,NA,1,0,2,NA,3
Pennsylvania,2020-07-31,1,3,2,NA,1,0,2,NA,3
Rhode Island,2020-07-31,1,1,2,3,1,4,2,NA,3
South Carolina,2020-07-31,1,3,NA,1,1,1,2,NA,3
South Dakota,2020-07-31,0,1,0,1,1,0,0,NA,0
Tennessee,2020-07-31,1,1,NA,3,1,0,1,NA,3
Texas,2020-07-31,1,3,3,NA,1,1,2,NA,3
Utah,2020-07-31,1,1,0,3,1,1,1,NA,2
Vermont,2020-07-31,1,1,2,3,1,4,2,NA,3
Virginia,2020-07-31,1,1,2,3,1,0,1,NA,3
Washington,2020-07-31,1,2,1,0,1,0,2,NA,3
West Virginia,2020-07-31,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-07-31,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-07-31,0,1,0,3,1,1,1,NA,2
Alabama,2020-08-01,1,2,2,1,1,0,1,NA,3
Alaska,2020-08-01,1,1,NA,1,1,5,1,NA,2
Arizona,2020-08-01,1,3,3,NA,1,1,2,NA,2
Arkansas,2020-08-01,0,2,0,1,1,1,2,NA,3
California,2020-08-01,5,3,3,7,1,0,3,NA,3
Colorado,2020-08-01,2,3,2,3,1,0,2,NA,3
Connecticut,2020-08-01,1,1,2,3,1,4,2,NA,3
Delaware,2020-08-01,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-08-01,1,1,2,3,1,4,2,NA,3
Florida,2020-08-01,1,3,2,1,1,4,2,NA,2
Georgia,2020-08-01,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-08-01,1,1,1,3,1,5,1,NA,3
Idaho,2020-08-01,1,2,2,1,1,1,2,NA,0
Illinois,2020-08-01,1,1,2,3,1,0,2,NA,3
Indiana,2020-08-01,1,2,2,3,1,0,2,NA,3
Iowa,2020-08-01,0,1,NA,3,1,0,1,NA,3
Kansas,2020-08-01,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-08-01,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-08-01,1,3,2,NA,1,0,2,NA,3
Maine,2020-08-01,1,1,1,3,1,5,2,NA,3
Maryland,2020-08-01,1,2,2,1,1,5,2,NA,3
Massachusetts,2020-08-01,2,1,1,3,1,5,1,NA,3
Michigan,2020-08-01,1,3,1,NA,1,0,2,NA,3
Minnesota,2020-08-01,1,1,1,5,1,0,2,NA,3
Mississippi,2020-08-01,1,3,2,NA,1,0,2,NA,2
Missouri,2020-08-01,1,1,NA,1,1,0,1,NA,0
Montana,2020-08-01,1,1,2,3,1,1,2,NA,3
Nebraska,2020-08-01,0,1,0,3,1,2,2,NA,2
Nevada,2020-08-01,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-08-01,1,1,2,1,1,0,2,NA,2
New Jersey,2020-08-01,1,2,2,3,1,4,2,NA,3
New Mexico,2020-08-01,1,3,2,3,1,NA,2,NA,2
New York,2020-08-01,2,1,2,3,1,4,2,NA,3
North Carolina,2020-08-01,1,3,2,5,1,0,2,NA,3
North Dakota,2020-08-01,0,1,NA,0,1,5,1,NA,0
Ohio,2020-08-01,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-08-01,1,1,2,1,1,1,2,NA,0
Oregon,2020-08-01,1,3,1,NA,1,0,2,NA,3
Pennsylvania,2020-08-01,1,3,2,NA,1,0,2,NA,3
Rhode Island,2020-08-01,1,1,2,3,1,4,2,NA,3
South Carolina,2020-08-01,1,3,NA,1,1,1,2,NA,3
South Dakota,2020-08-01,0,1,0,1,1,0,0,NA,0
Tennessee,2020-08-01,1,1,NA,3,1,0,1,NA,3
Texas,2020-08-01,1,3,3,NA,1,1,2,NA,3
Utah,2020-08-01,1,1,0,3,1,1,1,NA,2
Vermont,2020-08-01,1,1,2,3,1,4,2,NA,3
Virginia,2020-08-01,1,1,2,3,1,0,1,NA,3
Washington,2020-08-01,1,2,1,0,1,0,2,NA,3
West Virginia,2020-08-01,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-08-01,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-08-01,0,1,0,3,1,1,1,NA,2
Alabama,2020-08-02,1,2,2,1,1,0,1,NA,3
Alaska,2020-08-02,1,1,NA,1,1,5,1,NA,2
Arizona,2020-08-02,1,3,3,NA,1,1,2,NA,2
Arkansas,2020-08-02,0,2,0,1,1,1,2,NA,3
California,2020-08-02,5,3,3,7,1,0,3,NA,3
Colorado,2020-08-02,2,3,2,3,1,0,2,NA,3
Connecticut,2020-08-02,1,1,2,3,1,4,2,NA,3
Delaware,2020-08-02,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-08-02,1,1,2,3,1,4,2,NA,3
Florida,2020-08-02,1,3,2,1,1,4,2,NA,2
Georgia,2020-08-02,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-08-02,1,1,1,3,1,5,1,NA,3
Idaho,2020-08-02,1,2,2,1,1,1,2,NA,0
Illinois,2020-08-02,1,1,2,3,1,0,2,NA,3
Indiana,2020-08-02,1,2,2,3,1,0,2,NA,3
Iowa,2020-08-02,0,1,NA,3,1,0,1,NA,3
Kansas,2020-08-02,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-08-02,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-08-02,1,3,2,NA,1,0,2,NA,3
Maine,2020-08-02,1,1,1,3,1,5,2,NA,3
Maryland,2020-08-02,1,2,2,1,1,5,2,NA,3
Massachusetts,2020-08-02,2,1,1,3,1,5,1,NA,3
Michigan,2020-08-02,1,3,1,NA,1,0,2,NA,3
Minnesota,2020-08-02,1,1,1,5,1,0,2,NA,3
Mississippi,2020-08-02,1,3,2,NA,1,0,2,NA,2
Missouri,2020-08-02,1,1,NA,1,1,0,1,NA,0
Montana,2020-08-02,1,1,2,3,1,1,2,NA,3
Nebraska,2020-08-02,0,1,0,3,1,2,2,NA,2
Nevada,2020-08-02,1,3,2,3,1,0,2,NA,3
New Hampshire,2020-08-02,1,1,2,1,1,0,2,NA,2
New Jersey,2020-08-02,1,2,2,3,1,4,2,NA,3
New Mexico,2020-08-02,1,3,2,3,1,NA,2,NA,2
New York,2020-08-02,2,1,2,3,1,4,2,NA,3
North Carolina,2020-08-02,1,3,2,5,1,0,2,NA,3
North Dakota,2020-08-02,0,1,NA,0,1,5,1,NA,0
Ohio,2020-08-02,1,1,2,3,1,1,1,NA,3
Oklahoma,2020-08-02,1,1,2,1,1,1,2,NA,0
Oregon,2020-08-02,1,3,1,NA,1,0,2,NA,3
Pennsylvania,2020-08-02,1,3,2,NA,1,0,2,NA,3
Rhode Island,2020-08-02,1,1,2,3,1,4,2,NA,3
South Carolina,2020-08-02,1,3,NA,1,1,1,2,NA,3
South Dakota,2020-08-02,0,1,0,1,1,0,0,NA,0
Tennessee,2020-08-02,1,1,NA,3,1,0,1,NA,3
Texas,2020-08-02,1,3,3,NA,1,1,2,NA,3
Utah,2020-08-02,1,1,0,3,1,1,1,NA,2
Vermont,2020-08-02,1,1,2,3,1,4,2,NA,3
Virginia,2020-08-02,1,1,2,3,1,0,1,NA,3
Washington,2020-08-02,1,2,1,0,1,0,2,NA,3
West Virginia,2020-08-02,1,3,2,NA,1,1,2,NA,3
Wisconsin,2020-08-02,1,1,NA,1,1,0,1,NA,0
Wyoming,2020-08-02,0,1,0,3,1,1,1,NA,2
Alabama,2020-08-03,1,2,2,1,1,0,1,NA,3
Alaska,2020-08-03,1,1,NA,1,1,5,1,NA,2
Arizona,2020-08-03,1,3,3,NA,1,1,2,NA,2
Arkansas,2020-08-03,0,2,0,1,1,1,2,NA,3
California,2020-08-03,5,3,3,7,1,0,3,NA,3
Colorado,2020-08-03,2,3,2,3,1,0,2,NA,3
Connecticut,2020-08-03,1,1,2,3,1,4,2,NA,3
Delaware,2020-08-03,1,3,2,3,1,1,2,NA,3
District of Columbia,2020-08-03,1,1,2,3,1,4,2,NA,3
Florida,2020-08-03,1,3,2,1,1,4,2,NA,2
Georgia,2020-08-03,2,1,NA,3,1,0,1,NA,2
Hawaii,2020-08-03,1,1,1,3,1,5,1,NA,3
Idaho,2020-08-03,1,2,2,1,1,1,2,NA,0
Illinois,2020-08-03,1,1,2,3,1,0,2,NA,3
Indiana,2020-08-03,1,2,2,3,1,0,2,NA,3
Iowa,2020-08-03,0,1,NA,3,1,0,1,NA,3
Kansas,2020-08-03,1,1,NA,1,1,4,1,NA,3
Kentucky,2020-08-03,1,3,1,NA,1,1,2,NA,3
Louisiana,2020-08-03,1,3,2,NA,1,0,2,NA,3
Maine,2020-08-03,1,1,1,3,1,5,2,NA,3
Maryland,2020-08-03,1,2,2,1,1,5,2,NA,3
Massachusetts,2020-08-03,2,1,1,3,1,5,1,NA,3
Michigan,2020-08-03,1,3,1,NA,1,0,2,NA,3
Minnesota,2020-08-03,1,1,1,5,1,0,2,NA,3
Mississippi,2020-08-03,1,3,2,NA,1,0,2,NA,2
Missouri,2020-08-03,1,1,NA,1,1,0,1,NA,0
Montana,2020-08-03,1,1,2,3,1,1,2,NA,3
Nebraska,2020-08-03,0,1,0,3,1,2,2,NA,2
Nevada,2020-08-03,1,3,2,3,1,0,2,NA,3
