date,state,index
2020-03-25,AK,0.002923510907357367
2020-03-25,AL,0.0047069325990771165
2020-03-25,AR,-0.010930215519545936
2020-03-25,AZ,-0.026766844915487736
2020-03-25,CA,0.7204947655305745
2020-03-25,CO,0.023221970960266614
2020-03-25,CT,0.03804687411593343
2020-03-25,DC,0.010877163166707556
2020-03-25,DE,0.010555224759100815
2020-03-25,FL,-0.07838576460211603
2020-03-25,GA,-0.08509671051934957
2020-03-25,HI,0.021470104260477504
2020-03-25,IA,0.012230479812445445
2020-03-25,ID,-0.030610974289485067
2020-03-25,IL,0.23037064384903605
2020-03-25,IN,0.1236257527711932
2020-03-25,KS,-9.917078853101703e-4
2020-03-25,KY,0.024186365693312863
2020-03-25,LA,0.018574149282567523
2020-03-25,MA,0.10519198390576653
2020-03-25,MD,0.09240806387521318
2020-03-25,ME,0.020423593571477643
2020-03-25,MI,0.18240287747531322
2020-03-25,MN,-0.020404394796599085
2020-03-25,MO,0.024596759763460693
2020-03-25,MS,-0.0010097398659923457
2020-03-25,MT,0.004320651139342661
2020-03-25,NC,-0.005985644720768525
2020-03-25,ND,-0.002760248006464952
2020-03-25,NE,-0.15250613205483765
2020-03-25,NH,0.00546300507544154
2020-03-25,NJ,0.1425558830486719
2020-03-25,NM,0.0294098631320866
2020-03-25,NV,0.04788803169736438
2020-03-25,NY,0.35389194997625334
2020-03-25,OH,0.21400337706893205
2020-03-25,OK,0.008928824517087937
2020-03-25,OR,0.0680732403366312
2020-03-25,PA,0.09784620964865622
2020-03-25,RI,0.004226879098553467
2020-03-25,SC,-0.002946312147534112
2020-03-25,SD,-0.008050501877380056
2020-03-25,TN,0.027536776341310028
2020-03-25,TX,0.11739801682371113
2020-03-25,UT,0.012994532924609524
2020-03-25,VA,0.03434907999480362
2020-03-25,VT,0.009511917561443142
2020-03-25,WA,0.14080461774189773
2020-03-25,WI,0.106746318594617
2020-03-25,WV,0.03266427411282353
2020-03-25,WY,0.0023284191100413324
2020-03-26,AK,0.003932664745382949
2020-03-26,AL,-0.010664173342886281
2020-03-26,AR,-0.020395250943769695
2020-03-26,AZ,-0.04994563172593479
2020-03-26,CA,1.0407693043767732
2020-03-26,CO,0.005083093872775619
2020-03-26,CT,0.02693750490687425
2020-03-26,DC,0.008650870570595902
2020-03-26,DE,0.01858329759019708
2020-03-26,FL,-0.07838576460211603
2020-03-26,GA,-0.07031460492675642
2020-03-26,HI,0.03291664218401634
2020-03-26,IA,0.0023499321933577975
2020-03-26,ID,0.04805596996515004
2020-03-26,IL,0.3327750682144494
2020-03-26,IN,0.17857990768327064
2020-03-26,KS,-9.917078853101703e-4
2020-03-26,KY,0.010202854166869153
2020-03-26,LA,0.056365607637327605
2020-03-26,MA,0.08366172538610957
2020-03-26,MD,0.07349436502990367
2020-03-26,ME,0.016206784588504778
2020-03-26,MI,0.26348465663939324
2020-03-26,MN,0.02562027016533358
2020-03-26,MO,0.005384023563620266
2020-03-26,MS,-0.010275712720203965
2020-03-26,MT,9.457541468108666e-4
2020-03-26,NC,-0.039094516796577904
2020-03-26,ND,-0.005150488630184978
2020-03-26,NE,-0.15855756422272013
2020-03-26,NH,0.0011958058027646498
2020-03-26,NJ,0.21481740610006012
2020-03-26,NM,0.022831331793355003
2020-03-26,NV,0.03808650819567423
2020-03-26,NY,0.38058082121262216
2020-03-26,OH,0.309132219333051
2020-03-26,OK,-1.74643724484428e-4
2020-03-26,OR,0.10257954004569812
2020-03-26,PA,0.09784620964865622
2020-03-26,RI,0.004226879098553467
2020-03-26,SC,-0.019243482550856228
2020-03-26,SD,-0.01083866775402004
2020-03-26,TN,0.006027568432326496
2020-03-26,TX,0.11739801682371113
2020-03-26,UT,-0.021871511819378745
2020-03-26,VA,0.00751872433032538
2020-03-26,VT,0.014583086465501946
2020-03-26,WA,0.20339512661463421
2020-03-26,WI,0.15419722260811689
2020-03-26,WV,0.04718420656580461
2020-03-26,WY,5.096713337449146e-4
2020-03-27,AK,0.003932664745382949
2020-03-27,AL,-0.010664173342886281
2020-03-27,AR,0.0026524058428983414
2020-03-27,AZ,-0.04994563172593479
2020-03-27,CA,1.0407693043767732
2020-03-27,CO,0.15353799247313443
2020-03-27,CT,0.016116840549233034
2020-03-27,DC,0.008650870570595902
2020-03-27,DE,0.01858329759019708
2020-03-27,FL,-0.07838576460211603
2020-03-27,GA,-0.07031460492675642
2020-03-27,HI,0.03291664218401634
2020-03-27,IA,0.0023499321933577975
2020-03-27,ID,0.048297886733685194
2020-03-27,IL,0.3327750682144494
2020-03-27,IN,0.17857990768327064
2020-03-27,KS,-9.917078853101703e-4
2020-03-27,KY,0.010202854166869153
2020-03-27,LA,0.056365607637327605
2020-03-27,MA,0.08366172538610957
2020-03-27,MD,0.07349436502990367
2020-03-27,ME,0.016206784588504778
2020-03-27,MI,0.26348465663939324
2020-03-27,MN,0.02562027016533358
2020-03-27,MO,0.005384023563620266
2020-03-27,MS,-0.010275712720203965
2020-03-27,MT,0.028567088609597363
2020-03-27,NC,0.2480042711595335
2020-03-27,ND,-0.005150488630184978
2020-03-27,NE,-0.15855756422272013
2020-03-27,NH,0.031963748057909434
2020-03-27,NJ,0.21481740610006012
2020-03-27,NM,0.022831331793355003
2020-03-27,NV,0.03808650819567423
2020-03-27,NY,0.38058082121262216
2020-03-27,OH,0.309132219333051
2020-03-27,OK,-1.74643724484428e-4
2020-03-27,OR,0.10257954004569812
2020-03-27,PA,0.09784620964865622
2020-03-27,RI,0.004226879098553467
2020-03-27,SC,-0.019243482550856228
