date,composite_weighted_std_score
2020-03-25,2.4473044872869285
2020-03-26,3.107323394305427
2020-03-27,3.5990744549051996
2020-03-28,3.5990744549051996
2020-03-29,3.5990744549051996
2020-03-30,3.4353007513617735
2020-03-31,3.4353007513617735
2020-04-01,4.537759775600493
2020-04-02,4.537759775600493
2020-04-03,5.563853918754627
2020-04-04,5.563853918754627
2020-04-05,5.563853918754627
2020-04-06,6.019317217179067
2020-04-07,6.019317217179067
2020-04-08,6.019317217179067
2020-04-09,6.067686114554386
2020-04-10,6.068933087749926
2020-04-11,6.068933087749926
2020-04-12,6.068933087749926
2020-04-13,6.068933087749926
2020-04-14,6.068933087749926
2020-04-15,6.068933087749926
2020-04-16,6.0838166938592435
2020-04-17,6.0838166938592435
2020-04-18,6.0838166938592435
2020-04-19,6.0838166938592435
2020-04-20,6.0838166938592435
2020-04-21,6.0838166938592435
2020-04-22,6.158150719539304
2020-04-23,6.158150719539304
2020-04-24,6.0625836411256495
2020-04-25,6.0625836411256495
2020-04-26,6.0625836411256495
2020-04-27,5.8946951365903075
2020-04-28,5.8946951365903075
2020-04-29,5.841295025798983
2020-04-30,5.771662742784918
2020-05-01,5.771662742784918
2020-05-02,5.771662742784918
2020-05-03,5.771662742784918
2020-05-04,5.771662742784918
2020-05-05,4.293683726382067
2020-05-06,4.293683726382067
2020-05-07,4.275269264178613
2020-05-08,3.8515449548485003
2020-05-09,3.8515449548485003
2020-05-10,3.8515449548485003
2020-05-11,3.8515449548485003
2020-05-12,3.608692742321253
2020-05-13,3.5818194625978106
2020-05-14,3.532803241898282
2020-05-15,2.526975372606563
2020-05-16,2.526975372606563
2020-05-17,2.526975372606563
2020-05-18,2.481825871652569
2020-05-19,2.3069643572077076
2020-05-20,2.2375832804601488
2020-05-21,1.8807094089248173
2020-05-22,1.5760029307966625
2020-05-23,1.5760029307966625
2020-05-24,1.5760029307966625
2020-05-25,1.5760029307966625
2020-05-26,1.4174689509930158
2020-05-27,1.5238534862946485
2020-05-28,1.5238534862946485
2020-05-29,1.1937018139140871
2020-05-30,1.1937018139140871
2020-05-31,1.1937018139140871
2020-06-01,0.7473758262866566
2020-06-02,0.7473758262866566
2020-06-03,0.7473758262866566
2020-06-04,0.5697160799194815
2020-06-05,0.548493843630194
2020-06-06,0.548493843630194
2020-06-07,0.548493843630194
2020-06-08,0.548493843630194
2020-06-09,0.2916402466819755
2020-06-10,0.2916402466819755
2020-06-11,0.2916402466819755
2020-06-12,0.0312567424087352
2020-06-13,0.0312567424087352
2020-06-14,0.0312567424087352
2020-06-15,-0.10639061682216923
2020-06-16,-0.27745031585124696
2020-06-17,-0.27745031585124696
2020-06-18,-0.27745031585124696
2020-06-19,-0.27745031585124696
2020-06-20,-0.27745031585124696
2020-06-21,-0.27745031585124696
2020-06-22,-0.39182992863469684
2020-06-23,-0.39182992863469684
2020-06-24,-0.1847292095872488
2020-06-25,-0.1847292095872488
2020-06-26,-0.26827591035418746
2020-06-27,-0.26827591035418746
2020-06-28,-0.26827591035418746
2020-06-29,-0.3321226998143871
2020-06-30,-0.2808195299538357
2020-07-01,-0.42459165958286343
2020-07-02,-0.42459165958286343
2020-07-03,-0.1648674938498413
2020-07-04,-0.1648674938498413
2020-07-05,-0.1648674938498413
2020-07-06,-0.1648674938498413
2020-07-07,-0.10215752171937033
2020-07-08,-0.1355095013880476
2020-07-09,-0.11557332378973938
2020-07-10,-0.04252127023400346
2020-07-11,-0.04252127023400346
2020-07-12,-0.04252127023400346
2020-07-13,-0.04851540624391525
2020-07-14,-0.10185384971461126
2020-07-15,-0.1793703134467849
2020-07-16,-0.1793703134467849
2020-07-17,-0.0631627605724532
2020-07-18,-0.0631627605724532
2020-07-19,-0.0631627605724532
2020-07-20,-0.02457068935675969
2020-07-21,-0.02457068935675969
2020-07-22,0.026712171454411397
2020-07-23,0.08332004341507747
2020-07-24,0.08332004341507747
2020-07-25,0.08332004341507747
2020-07-26,0.08332004341507747
2020-07-27,0.08865609722570217
2020-07-28,0.08571381470734898
2020-07-29,0.08571381470734898
2020-07-30,0.18165632758077532
2020-07-31,0.18165632758077532
2020-08-01,0.18165632758077532
2020-08-02,0.18165632758077532
2020-08-03,0.2805892379332637
2020-08-04,0.2805892379332637
2020-08-05,0.27817909593077705
2020-08-06,0.27817909593077705
2020-08-07,0.30698743563028497
2020-08-08,0.30698743563028497
2020-08-09,0.30698743563028497
2020-08-10,0.30698743563028497
2020-08-11,0.4590401488030656
2020-08-12,0.4590401488030656
2020-08-13,0.4635493768538425
2020-08-14,0.4635493768538425
2020-08-15,0.4635493768538425
2020-08-16,0.4635493768538425
2020-08-17,0.4635493768538425
2020-08-18,0.4635493768538425
2020-08-19,0.4635493768538425
2020-08-20,0.4635493768538425
2020-08-21,0.32717278462423244
2020-08-22,0.32717278462423244
2020-08-23,0.32717278462423244
2020-08-24,0.32717278462423244
2020-08-25,0.32717278462423244
2020-08-26,0.33471007828310795
2020-08-27,0.33471007828310795
2020-08-28,0.33471007828310795
2020-08-29,0.33471007828310795
2020-08-30,0.33471007828310795
2020-08-31,0.3281891005290095
2020-09-01,0.3281891005290095
2020-09-02,0.22831074148379413
2020-09-03,0.22831074148379413
2020-09-04,0.20894340025144328
2020-09-05,0.20894340025144328
2020-09-06,0.20894340025144328
2020-09-07,0.20894340025144328
2020-09-08,0.21385406735984944
2020-09-09,0.21385406735984944
2020-09-10,0.21385406735984944
2020-09-11,0.21385406735984944
2020-09-12,0.21385406735984944
2020-09-13,0.21385406735984944
2020-09-14,0.21385406735984944
