date,composite_weighted_std_score
2020-03-25,47.32081690872672
2020-03-26,55.18804639041779
2020-03-27,62.604664400564104
2020-03-28,62.604664400564104
2020-03-29,62.604664400564104
2020-03-30,59.387862661760906
2020-03-31,59.387862661760906
2020-04-01,76.2432261197312
2020-04-02,76.2432261197312
2020-04-03,91.04515845251355
2020-04-04,91.04515845251355
2020-04-05,91.04515845251355
2020-04-06,97.88261576594478
2020-04-07,97.88261576594478
2020-04-08,97.88261576594478
2020-04-09,98.6077020024442
2020-04-10,98.62639507072635
2020-04-11,98.62639507072635
2020-04-12,98.62639507072635
2020-04-13,98.62639507072635
2020-04-14,98.62639507072635
2020-04-15,98.62639507072635
2020-04-16,98.84951154691156
2020-04-17,98.84951154691156
2020-04-18,98.84951154691156
2020-04-19,98.84951154691156
2020-04-20,98.84951154691156
2020-04-21,98.84951154691156
2020-04-22,100
2020-04-23,100
2020-04-24,98.53499767032831
2020-04-25,98.53499767032831
2020-04-26,98.53499767032831
2020-04-27,96.16464555193873
2020-04-28,96.16464555193873
2020-04-29,95.44231888615326
2020-04-30,94.44180205439314
2020-05-01,94.44180205439314
2020-05-02,94.44180205439314
2020-05-03,94.44180205439314
2020-05-04,94.44180205439314
2020-05-05,72.55512973545338
2020-05-06,72.55512973545338
2020-05-07,72.27306886910489
2020-05-08,65.77760751329436
2020-05-09,65.77760751329436
2020-05-10,65.77760751329436
2020-05-11,65.77760751329436
2020-05-12,62.08733791345521
2020-05-13,61.67702111723096
2020-05-14,61.00004352434628
2020-05-15,46.033086199069004
2020-05-16,46.033086199069004
2020-05-17,46.033086199069004
2020-05-18,45.41245722457464
2020-05-19,42.86357010365095
2020-05-20,41.84854112184006
2020-05-21,36.60625698666365
2020-05-22,32.15447489998592
2020-05-23,32.15447489998592
2020-05-24,32.15447489998592
2020-05-25,32.15447489998592
2020-05-26,29.747197482174638
2020-05-27,31.384472879277602
2020-05-28,31.384472879277602
2020-05-29,26.363809111999657
2020-05-30,26.363809111999657
2020-05-31,26.363809111999657
2020-06-01,19.94424292593776
2020-06-02,19.94424292593776
2020-06-03,19.94424292593776
2020-06-04,17.23163104165766
2020-06-05,16.90759764891407
2020-06-06,16.90759764891407
2020-06-07,16.90759764891407
2020-06-08,16.90759764891407
2020-06-09,13.067047265155088
2020-06-10,13.067047265155088
2020-06-11,13.067047265155088
2020-06-12,9.321420045849727
2020-06-13,9.321420045849727
2020-06-14,9.321420045849727
2020-06-15,7.25406551859602
2020-06-16,4.668844043847343
2020-06-17,4.668844043847343
2020-06-18,4.668844043847343
2020-06-19,4.668844043847343
2020-06-20,4.668844043847343
2020-06-21,4.668844043847343
2020-06-22,2.9063875150091385
2020-06-23,2.9063875150091385
2020-06-24,6.010983424757129
2020-06-25,6.010983424757129
2020-06-26,3.9026481460561784
2020-06-27,3.9026481460561784
2020-06-28,3.9026481460561784
2020-06-29,2.9377330190968602
2020-06-30,3.729444666782552
2020-07-01,1.6279041032803583
2020-07-02,1.6279041032803583
2020-07-03,5.572974194561154
2020-07-04,5.572974194561154
2020-07-05,5.572974194561154
2020-07-06,5.572974194561154
2020-07-07,6.553234044709521
2020-07-08,6.041714096560547
2020-07-09,6.384251204636042
2020-07-10,7.511634605826095
2020-07-11,7.511634605826095
2020-07-12,7.511634605826095
2020-07-13,7.446760145493051
2020-07-14,6.733091253938482
2020-07-15,5.932578600214276
2020-07-16,5.932578600214276
2020-07-17,7.81580845044485
2020-07-18,7.81580845044485
2020-07-19,7.81580845044485
2020-07-20,8.416271179257077
2020-07-21,8.416271179257077
2020-07-22,9.216560566205487
2020-07-23,10.108516428885919
2020-07-24,10.108516428885919
2020-07-25,10.108516428885919
2020-07-26,10.108516428885919
2020-07-27,10.195804389272013
2020-07-28,10.170508854081152
2020-07-29,10.170508854081152
2020-07-30,11.53141536407872
2020-07-31,11.53141536407872
2020-08-01,11.53141536407872
2020-08-02,11.53141536407872
2020-08-03,13.084473208910588
2020-08-04,13.084473208910588
2020-08-05,13.01212728820752
2020-08-06,13.01212728820752
2020-08-07,13.455746094745557
2020-08-08,13.455746094745557
2020-08-09,13.455746094745557
2020-08-10,13.455746094745557
2020-08-11,15.797346464600706
2020-08-12,15.797346464600706
2020-08-13,15.867506559535052
2020-08-14,15.867506559535052
2020-08-15,15.867506559535052
2020-08-16,15.867506559535052
2020-08-17,15.867506559535052
2020-08-18,15.867506559535052
2020-08-19,15.867506559535052
2020-08-20,15.867506559535052
2020-08-21,13.830252814612374
2020-08-22,13.830252814612374
2020-08-23,13.830252814612374
2020-08-24,13.830252814612374
2020-08-25,13.830252814612374
2020-08-26,13.945721174045142
2020-08-27,13.945721174045142
2020-08-28,13.945721174045142
2020-08-29,13.945721174045142
2020-08-30,13.945721174045142
2020-08-31,13.846418850131329
2020-09-01,13.846418850131329
2020-09-02,12.312576832245156
2020-09-03,12.312576832245156
2020-09-04,12.014339693523233
2020-09-05,12.014339693523233
2020-09-06,12.014339693523233
2020-09-07,12.014339693523233
2020-09-08,12.086014492927584
2020-09-09,12.086014492927584
2020-09-10,12.086014492927584
2020-09-11,12.086014492927584
2020-09-12,12.086014492927584
2020-09-13,12.086014492927584
2020-09-14,12.086014492927584
2020-09-15,12.086014492927584
2020-09-16,5.623181781978811
2020-09-17,5.623181781978811
2020-09-18,5.623181781978811
2020-09-19,5.623181781978811
2020-09-20,5.623181781978811
2020-09-21,5.623181781978811
2020-09-22,5.623181781978811
2020-09-23,5.623181781978811
2020-09-24,4.536899160974548
2020-09-25,1.0356821982596256
